MakeRoot 1
AddRight 152 125
AddLeft 153 49
AddRight 154 50
AddLeft 155 86
AddRight 156 70
AddLeft 157 46
AddLeft 158 145
AddLeft 159 101
AddLeft 160 62
AddRight 161 139
AddRight 162 143
AddLeft 163 147
AddLeft 164 126
AddRight 165 147
AddLeft 166 105
AddRight 167 85
AddRight 168 100
AddRight 169 55
AddRight 170 151
AddLeft 171 134
AddLeft 172 94
AddLeft 173 118
AddLeft 174 70
AddRight 175 56
AddLeft 176 82
AddLeft 177 169
AddRight 178 91
AddLeft 179 151
AddLeft 180 115
AddLeft 181 131
AddLeft 182 41
AddLeft 183 164
AddLeft 184 12
AddLeft 185 166
AddLeft 186 108
AddLeft 187 140
AddRight 188 148
AddRight 189 87
AddLeft 190 175
AddLeft 191 112
AddRight 192 146
AddRight 193 173
AddLeft 194 156
AddRight 195 185
AddLeft 196 138
AddRight 197 170
AddRight 198 164
AddLeft 199 163
AddLeft 200 180
AddRight 201 30
AddRight 202 48
AddRight 203 152
AddRight 204 159
AddRight 205 118
AddLeft 206 32
AddLeft 207 194
AddRight 208 138
AddLeft 209 174
AddRight 210 115
AddLeft 211 51
AddLeft 212 197
AddRight 213 162
AddLeft 214 193
AddRight 215 140
AddLeft 216 139
AddLeft 217 185
AddRight 218 174
AddRight 219 64
AddLeft 220 127
AddRight 221 133
AddLeft 222 154
AddLeft 223 213
AddLeft 224 61
AddRight 225 204
AddLeft 226 160
AddRight 227 149
AddLeft 228 191
AddRight 229 142
AddLeft 230 78
AddRight 231 49
AddLeft 232 128
AddLeft 233 122
AddLeft 234 168
AddLeft 235 38
AddLeft 236 173
AddLeft 237 205
AddRight 238 168
AddRight 239 210
AddRight 240 237
AddLeft 241 235
AddLeft 242 204
AddLeft 243 110
AddRight 244 240
AddRight 245 119
AddRight 246 193
AddRight 247 38
AddRight 248 236
AddLeft 249 248
AddLeft 250 59
AddRight 251 111
AddLeft 252 114
AddRight 253 194
AddRight 254 165
AddRight 255 232
AddLeft 256 215
AddRight 257 214
AddRight 258 243
AddLeft 259 199
AddLeft 260 233
AddRight 261 39
AddLeft 262 99
AddLeft 263 241
AddRight 264 95
AddRight 265 205
AddRight 266 126
AddLeft 267 90
AddRight 268 179
AddLeft 269 250
AddLeft 270 263
AddRight 271 137
AddLeft 272 254
AddLeft 273 252
AddRight 274 226
AddLeft 275 176
AddLeft 276 272
AddRight 277 227
AddLeft 278 183
AddLeft 279 232
AddLeft 280 165
AddRight 281 141
AddRight 282 79
AddRight 283 108
AddRight 284 267
AddRight 285 265
AddLeft 286 244
AddLeft 287 121
AddRight 288 136
AddLeft 289 55
AddLeft 290 184
AddRight 291 76
AddLeft 292 237
AddLeft 293 228
AddRight 294 96
AddLeft 295 186
AddRight 296 247
AddLeft 297 107
AddRight 298 196
AddRight 299 175
AddLeft 300 212
AddLeft 301 282
AddLeft 302 137
AddRight 303 130
AddLeft 304 284
AddRight 305 228
AddRight 306 300
AddLeft 307 286
AddLeft 308 98
AddLeft 309 200
AddLeft 310 189
AddRight 311 304
AddRight 312 145
AddRight 313 249
AddRight 314 246
AddRight 315 184
AddLeft 316 307
AddLeft 317 220
AddRight 318 190
AddRight 319 155
AddRight 320 3
AddLeft 321 269
AddRight 322 274
AddRight 323 213
AddRight 324 191
AddRight 325 239
AddLeft 326 100
AddLeft 327 259
AddRight 328 295
AddRight 329 284
AddLeft 330 253
AddRight 331 296
AddLeft 332 196
AddRight 333 207
AddLeft 334 192
AddLeft 335 280
AddLeft 336 331
AddRight 337 335
AddRight 338 144
AddLeft 339 104
AddLeft 340 245
AddRight 341 156
AddRight 342 42
AddRight 343 251
AddLeft 344 287
AddLeft 345 125
AddRight 346 198
AddLeft 347 321
AddLeft 348 124
AddLeft 349 207
AddLeft 350 301
AddRight 351 171
AddLeft 352 267
AddLeft 353 313
AddRight 354 313
AddLeft 355 211
AddLeft 356 333
AddLeft 357 326
AddLeft 358 243
AddRight 359 163
AddRight 360 197
AddLeft 361 264
AddRight 362 131
AddLeft 363 146
AddRight 364 235
AddRight 365 101
AddLeft 366 324
AddLeft 367 143
AddLeft 368 342
AddRight 369 259
AddLeft 370 356
AddLeft 371 95
AddLeft 372 158
AddLeft 373 239
AddRight 374 113
AddRight 375 192
AddRight 376 356
AddLeft 377 369
AddLeft 378 221
AddRight 379 346
AddLeft 380 216
AddLeft 381 346
AddRight 382 209
AddLeft 383 304
AddRight 384 212
AddRight 385 315
AddRight 386 233
AddLeft 387 357
AddLeft 388 153
AddLeft 389 308
AddLeft 390 306
AddLeft 391 337
AddRight 392 220
AddRight 393 110
AddRight 394 195
AddRight 395 291
AddLeft 396 249
AddLeft 397 87
AddRight 398 358
AddRight 399 253
AddRight 400 257
AddRight 401 189
AddLeft 402 161
AddLeft 403 385
AddLeft 404 295
AddRight 405 288
AddLeft 406 240
AddLeft 407 372
AddRight 408 289
AddRight 409 99
AddLeft 410 373
AddLeft 411 345
AddRight 412 181
AddRight 413 169
AddRight 414 202
AddRight 415 366
AddRight 416 71
AddRight 417 200
AddRight 418 404
AddRight 419 398
AddLeft 420 226
AddRight 421 229
AddLeft 422 230
AddRight 423 349
AddLeft 424 80
AddLeft 425 270
AddRight 426 317
AddRight 427 28
AddLeft 428 352
AddRight 429 396
AddRight 430 409
AddLeft 431 224
AddRight 432 231
AddLeft 433 376
AddRight 434 230
AddLeft 435 386
AddLeft 436 133
AddLeft 437 285
AddRight 438 347
AddLeft 439 312
AddLeft 440 283
AddRight 441 368
AddRight 442 117
AddLeft 443 349
AddRight 444 301
AddRight 445 69
AddLeft 446 380
AddLeft 447 328
AddRight 448 176
AddLeft 449 401
AddRight 450 303
AddRight 451 36
AddRight 452 329
AddLeft 453 117
AddRight 454 290
AddRight 455 339
AddLeft 456 363
AddRight 457 309
AddLeft 458 335
AddLeft 459 392
AddRight 460 452
AddLeft 461 262
AddRight 462 43
AddLeft 463 276
AddLeft 464 258
AddLeft 465 229
AddLeft 466 217
AddRight 467 466
AddLeft 468 257
AddLeft 469 383
AddLeft 470 268
AddRight 471 154
AddLeft 472 334
AddLeft 473 181
AddRight 474 157
AddLeft 475 384
AddLeft 476 425
AddRight 477 201
AddLeft 478 201
AddRight 479 403
AddRight 480 135
AddRight 481 199
AddRight 482 369
AddLeft 483 231
AddRight 484 451
AddLeft 485 208
AddRight 486 440
AddRight 487 324
AddRight 488 166
AddLeft 489 446
AddLeft 490 389
AddRight 491 268
AddRight 492 350
AddRight 493 429
AddRight 494 434
AddRight 495 328
AddLeft 496 305
AddRight 497 354
AddRight 498 490
AddLeft 499 318
AddRight 500 463
AddRight 501 447
AddRight 502 370
AddLeft 503 414
AddLeft 504 303
AddRight 505 61
AddLeft 506 206
AddLeft 507 141
AddLeft 508 440
AddRight 509 234
AddLeft 510 457
AddLeft 511 382
AddLeft 512 148
AddLeft 513 396
AddRight 514 470
AddLeft 515 477
AddLeft 516 512
AddRight 517 345
AddLeft 518 421
AddRight 519 423
AddLeft 520 462
AddLeft 521 407
AddLeft 522 433
AddRight 523 461
AddRight 524 395
AddRight 525 270
AddRight 526 443
AddRight 527 352
AddRight 528 311
AddRight 529 523
AddRight 530 371
AddLeft 531 188
AddLeft 532 495
AddLeft 533 413
AddLeft 534 247
AddLeft 535 445
AddRight 536 218
AddLeft 537 523
AddLeft 538 444
AddLeft 539 261
AddRight 540 412
AddRight 541 444
AddRight 542 261
AddRight 543 282
AddRight 544 499
AddRight 545 512
AddLeft 546 434
AddRight 547 475
AddLeft 548 417
AddLeft 549 322
AddRight 550 467
AddRight 551 344
AddLeft 552 488
AddLeft 553 541
AddLeft 554 395
AddRight 555 474
AddRight 556 437
AddRight 557 382
AddLeft 558 509
AddRight 559 187
AddLeft 560 539
AddRight 561 550
AddRight 562 414
AddLeft 563 426
AddRight 564 549
AddLeft 565 480
AddLeft 566 526
AddRight 567 383
AddLeft 568 441
AddRight 569 337
AddRight 570 44
AddRight 571 332
AddLeft 572 562
AddLeft 573 219
AddRight 574 572
AddLeft 575 464
AddLeft 576 159
AddRight 577 516
AddLeft 578 89
AddLeft 579 466
AddRight 580 394
AddLeft 581 548
AddLeft 582 155
AddRight 583 377
AddRight 584 431
AddLeft 585 476
AddLeft 586 532
AddLeft 587 470
AddRight 588 325
AddLeft 589 410
AddLeft 590 371
AddRight 591 578
AddRight 592 518
AddRight 593 221
AddRight 594 376
AddLeft 595 366
AddLeft 596 542
AddRight 597 559
AddLeft 598 456
AddLeft 599 424
AddRight 600 363
AddRight 601 587
AddLeft 602 453
AddLeft 603 460
AddRight 604 589
AddLeft 605 439
AddLeft 606 44
AddLeft 607 573
AddLeft 608 579
AddRight 609 524
AddRight 610 310
AddRight 611 306
AddLeft 612 485
AddLeft 613 316
AddLeft 614 497
AddLeft 615 557
AddLeft 616 481
AddRight 617 484
AddLeft 618 299
AddLeft 619 558
AddLeft 620 336
AddLeft 621 149
AddRight 622 544
AddLeft 623 273
AddRight 624 389
AddRight 625 449
AddRight 626 460
AddLeft 627 482
AddRight 628 390
AddRight 629 534
AddLeft 630 616
AddRight 631 122
AddLeft 632 455
AddRight 633 535
AddRight 634 439
AddLeft 635 430
AddLeft 636 617
AddRight 637 555
AddLeft 638 467
AddLeft 639 505
AddLeft 640 338
AddLeft 641 620
AddLeft 642 534
AddLeft 643 437
AddRight 644 593
AddLeft 645 310
AddRight 646 292
AddRight 647 509
AddLeft 648 501
AddRight 649 258
AddLeft 650 632
AddLeft 651 167
AddRight 652 399
AddLeft 653 116
AddLeft 654 179
AddRight 655 216
AddLeft 656 271
AddLeft 657 339
AddLeft 658 547
AddLeft 659 494
AddRight 660 379
AddRight 661 660
AddRight 662 651
AddLeft 663 300
AddRight 664 436
AddLeft 665 368
AddLeft 666 293
AddLeft 667 354
AddRight 668 298
AddLeft 669 553
AddRight 670 330
AddRight 671 612
AddRight 672 433
AddRight 673 545
AddRight 674 263
AddRight 675 287
AddLeft 676 522
AddRight 677 448
AddRight 678 280
AddRight 679 492
AddLeft 680 218
AddRight 681 294
AddRight 682 666
AddRight 683 653
AddLeft 684 246
AddLeft 685 673
AddLeft 686 647
AddRight 687 333
AddRight 688 314
AddLeft 689 681
AddRight 690 624
AddRight 691 351
AddLeft 692 157
AddRight 693 602
AddRight 694 597
AddLeft 695 507
AddLeft 696 393
AddRight 697 619
AddLeft 698 550
AddLeft 699 560
AddRight 700 348
AddLeft 701 443
AddRight 702 607
AddLeft 703 528
AddRight 704 360
AddRight 705 462
AddLeft 706 651
AddRight 707 248
AddLeft 708 419
AddRight 709 400
AddLeft 710 530
AddLeft 711 251
AddRight 712 458
AddRight 713 425
AddLeft 714 236
AddLeft 715 638
AddLeft 716 361
AddLeft 717 172
AddLeft 718 537
AddLeft 719 465
AddLeft 720 290
AddLeft 721 654
AddLeft 722 719
AddRight 723 719
AddRight 724 375
AddLeft 725 359
AddRight 726 600
AddLeft 727 661
AddRight 728 57
AddRight 729 407
AddRight 730 530
AddLeft 731 294
AddLeft 732 279
AddLeft 733 687
AddRight 734 584
AddRight 735 548
AddLeft 736 473
AddLeft 737 578
AddRight 738 620
AddRight 739 494
AddLeft 740 583
AddRight 741 245
AddRight 742 684
AddRight 743 297
AddRight 744 121
AddRight 745 510
AddRight 746 321
AddLeft 747 738
AddRight 748 640
AddLeft 749 586
AddRight 750 729
AddRight 751 642
AddLeft 752 704
AddRight 753 536
AddLeft 754 320
AddRight 755 585
AddLeft 756 432
AddRight 757 568
AddLeft 758 358
AddRight 759 685
AddRight 760 299
AddRight 761 391
AddRight 762 681
AddRight 763 699
AddLeft 764 748
AddRight 765 485
AddLeft 766 360
AddRight 767 724
AddRight 768 683
AddLeft 769 676
AddRight 770 483
AddRight 771 662
AddRight 772 766
AddLeft 773 693
AddLeft 774 755
AddLeft 775 664
AddLeft 776 618
AddLeft 777 602
AddRight 778 756
AddRight 779 365
AddLeft 780 615
AddRight 781 771
AddRight 782 573
AddLeft 783 593
AddLeft 784 405
AddRight 785 769
AddRight 786 278
AddRight 787 521
AddRight 788 598
AddRight 789 250
AddRight 790 551
AddRight 791 408
AddRight 792 54
AddRight 793 380
AddLeft 794 66
AddLeft 795 518
AddRight 796 628
AddRight 797 112
AddLeft 798 659
AddRight 799 527
AddRight 800 529
AddRight 801 386
AddRight 802 515
AddLeft 803 685
AddRight 804 713
AddRight 805 520
AddRight 806 528
AddLeft 807 626
AddRight 808 647
AddRight 809 761
AddLeft 810 565
AddLeft 811 513
AddRight 812 128
AddRight 813 808
AddLeft 814 730
AddRight 815 471
AddRight 816 277
AddRight 817 730
AddLeft 818 663
AddLeft 819 803
AddRight 820 802
AddLeft 821 666
AddRight 822 708
AddRight 823 558
AddRight 824 419
AddRight 825 308
AddLeft 826 278
AddRight 827 675
AddRight 828 563
AddLeft 829 451
AddRight 830 736
AddLeft 831 656
AddLeft 832 551
AddLeft 833 472
AddLeft 834 162
AddLeft 835 529
AddRight 836 588
AddLeft 837 619
AddLeft 838 648
AddLeft 839 698
AddRight 840 219
AddRight 841 374
AddRight 842 565
AddLeft 843 489
AddRight 844 614
AddRight 845 502
AddLeft 846 844
AddRight 847 254
AddRight 848 803
AddLeft 849 53
AddLeft 850 605
AddLeft 851 347
AddRight 852 341
AddRight 853 305
AddRight 854 540
AddLeft 855 785
AddLeft 856 479
AddRight 857 606
AddLeft 858 744
AddLeft 859 652
AddLeft 860 736
AddLeft 861 855
AddLeft 862 655
AddLeft 863 591
AddLeft 864 642
AddLeft 865 612
AddRight 866 806
AddLeft 867 718
AddRight 868 457
AddLeft 869 777
AddLeft 870 622
AddLeft 871 597
AddRight 872 150
AddRight 873 454
AddLeft 874 635
AddLeft 875 343
AddRight 876 851
AddRight 877 727
AddRight 878 804
AddLeft 879 422
AddRight 880 479
AddLeft 881 780
AddLeft 882 625
AddRight 883 322
AddRight 884 822
AddRight 885 424
AddLeft 886 829
AddRight 887 678
AddRight 888 272
AddRight 889 342
AddRight 890 658
AddRight 891 773
AddLeft 892 667
AddLeft 893 679
AddRight 894 487
AddRight 895 472
AddRight 896 367
AddLeft 897 771
AddRight 898 359
AddRight 899 488
AddRight 900 815
AddLeft 901 886
AddRight 902 362
AddLeft 903 804
AddLeft 904 714
AddRight 905 188
AddRight 906 844
AddRight 907 789
AddRight 908 238
AddRight 909 650
AddRight 910 700
AddRight 911 763
AddRight 912 880
AddRight 913 654
AddRight 914 541
AddRight 915 595
AddRight 916 373
AddRight 917 504
AddLeft 918 621
AddLeft 919 692
AddLeft 920 296
AddLeft 921 570
AddLeft 922 847
AddLeft 923 329
AddLeft 924 660
AddLeft 925 808
AddLeft 926 362
AddLeft 927 742
AddRight 928 285
AddLeft 929 662
AddLeft 930 394
AddLeft 931 823
AddLeft 932 486
AddLeft 933 721
AddRight 934 852
AddRight 935 776
AddRight 936 923
AddLeft 937 874
AddLeft 938 761
AddLeft 939 923
AddLeft 940 863
AddLeft 941 889
AddLeft 942 854
AddLeft 943 492
AddRight 944 843
AddRight 945 506
AddRight 946 673
AddLeft 947 353
AddRight 948 925
AddLeft 949 834
AddRight 950 507
AddRight 951 327
AddRight 952 695
AddLeft 953 696
AddLeft 954 910
AddLeft 955 97
AddRight 956 609
AddRight 957 930
AddLeft 958 735
AddLeft 959 754
AddRight 960 696
AddRight 961 626
AddLeft 962 665
AddRight 963 217
AddRight 964 586
AddLeft 965 859
AddLeft 966 760
AddLeft 967 794
AddRight 968 508
AddLeft 969 330
AddRight 970 893
AddRight 971 453
AddLeft 972 848
AddLeft 973 901
AddRight 974 491
AddLeft 975 412
AddRight 976 255
AddLeft 977 588
AddRight 978 316
AddRight 979 671
AddRight 980 610
AddRight 981 828
AddLeft 982 517
AddRight 983 468
AddLeft 984 388
AddLeft 985 892
AddLeft 986 275
AddLeft 987 756
AddRight 988 728
AddLeft 989 920
AddRight 990 945
AddLeft 991 411
AddRight 992 513
AddRight 993 964
AddLeft 994 993
AddLeft 995 649
AddLeft 996 607
AddLeft 997 967
AddRight 998 842
AddLeft 999 452
AddLeft 1000 561
AddRight 1001 826
AddRight 1002 629
AddLeft 1003 255
AddLeft 1004 884
AddRight 1005 260
AddLeft 1006 608
AddLeft 1007 367
AddRight 1008 659
AddLeft 1009 894
AddRight 1010 406
AddLeft 1011 825
AddRight 1012 364
AddRight 1013 418
AddRight 1014 397
AddLeft 1015 937
AddLeft 1016 900
AddRight 1017 913
AddRight 1018 948
AddRight 1019 486
AddLeft 1020 856
AddRight 1021 668
AddLeft 1022 399
AddLeft 1023 686
AddRight 1024 413
AddLeft 1025 525
AddRight 1026 989
AddRight 1027 167
AddLeft 1028 675
AddRight 1029 941
AddLeft 1030 571
AddLeft 1031 404
AddRight 1032 387
AddRight 1033 455
AddLeft 1034 938
AddLeft 1035 762
AddLeft 1036 1010
AddLeft 1037 670
AddRight 1038 991
AddLeft 1039 691
AddRight 1040 182
AddRight 1041 183
AddRight 1042 623
AddRight 1043 225
AddLeft 1044 646
AddLeft 1045 587
AddRight 1046 691
AddRight 1047 318
AddLeft 1048 1038
AddRight 1049 921
AddRight 1050 1017
AddLeft 1051 474
AddLeft 1052 1022
AddLeft 1053 190
AddRight 1054 742
AddLeft 1055 1043
AddRight 1056 693
AddRight 1057 611
AddLeft 1058 926
AddLeft 1059 292
AddRight 1060 906
AddRight 1061 343
AddRight 1062 357
AddRight 1063 525
AddRight 1064 241
AddRight 1065 753
AddRight 1066 553
AddRight 1067 1016
AddLeft 1068 323
AddLeft 1069 793
AddRight 1070 402
AddLeft 1071 397
AddRight 1072 381
AddRight 1073 1036
AddLeft 1074 580
AddRight 1075 867
AddLeft 1076 866
AddRight 1077 811
AddLeft 1078 1037
AddRight 1079 1039
AddRight 1080 1007
AddRight 1081 890
AddRight 1082 561
AddRight 1083 334
AddRight 1084 599
AddRight 1085 1071
AddRight 1086 420
AddRight 1087 276
AddRight 1088 503
AddRight 1089 912
AddLeft 1090 1041
AddLeft 1091 885
AddRight 1092 178
AddRight 1093 1028
AddLeft 1094 778
AddRight 1095 942
AddLeft 1096 752
AddRight 1097 1018
AddLeft 1098 355
AddRight 1099 161
AddLeft 1100 459
AddLeft 1101 624
AddLeft 1102 712
AddRight 1103 732
AddLeft 1104 788
AddRight 1105 1074
AddLeft 1106 957
AddLeft 1107 398
AddLeft 1108 319
AddLeft 1109 906
AddLeft 1110 520
AddRight 1111 256
AddLeft 1112 846
AddRight 1113 744
AddRight 1114 1046
AddRight 1115 858
AddLeft 1116 510
AddLeft 1117 769
AddLeft 1118 1001
AddRight 1119 784
AddLeft 1120 695
AddRight 1121 947
AddLeft 1122 709
AddRight 1123 1053
AddRight 1124 837
AddRight 1125 816
AddLeft 1126 792
AddLeft 1127 291
AddRight 1128 1048
AddRight 1129 983
AddLeft 1130 1028
AddRight 1131 635
AddRight 1132 895
AddLeft 1133 370
AddRight 1134 787
AddLeft 1135 948
AddRight 1136 932
AddLeft 1137 939
AddLeft 1138 256
AddLeft 1139 556
AddLeft 1140 739
AddLeft 1141 641
AddLeft 1142 1024
AddLeft 1143 973
AddLeft 1144 996
AddLeft 1145 1110
AddLeft 1146 409
AddRight 1147 751
AddLeft 1148 1069
AddRight 1149 649
AddRight 1150 690
AddRight 1151 772
AddRight 1152 633
AddRight 1153 733
AddLeft 1154 960
AddRight 1155 372
AddLeft 1156 1079
AddRight 1157 738
AddRight 1158 601
AddLeft 1159 717
AddLeft 1160 733
AddLeft 1161 554
AddLeft 1162 170
AddRight 1163 722
AddRight 1164 1101
AddLeft 1165 1139
AddRight 1166 859
AddRight 1167 997
AddRight 1168 1002
AddRight 1169 1076
AddRight 1170 940
AddLeft 1171 732
AddRight 1172 872
AddRight 1173 896
AddLeft 1174 627
AddLeft 1175 535
AddLeft 1176 1046
AddRight 1177 1143
AddRight 1178 795
AddLeft 1179 1096
AddRight 1180 581
AddLeft 1181 858
AddRight 1182 720
AddRight 1183 755
AddRight 1184 1105
AddLeft 1185 471
AddLeft 1186 773
AddRight 1187 107
AddRight 1188 445
AddRight 1189 1015
AddLeft 1190 1039
AddRight 1191 860
AddLeft 1192 801
AddLeft 1193 657
AddRight 1194 914
AddLeft 1195 935
AddRight 1196 1026
AddLeft 1197 634
AddLeft 1198 811
AddLeft 1199 461
AddRight 1200 1073
AddLeft 1201 882
AddLeft 1202 909
AddRight 1203 320
AddLeft 1204 403
AddRight 1205 973
AddLeft 1206 757
AddLeft 1207 1179
AddLeft 1208 765
AddRight 1209 552
AddRight 1210 641
AddLeft 1211 828
AddLeft 1212 601
AddLeft 1213 918
AddLeft 1214 841
AddRight 1215 911
AddRight 1216 208
AddLeft 1217 1151
AddRight 1218 114
AddRight 1219 676
AddRight 1220 215
AddLeft 1221 905
AddRight 1222 1165
AddRight 1223 1041
AddRight 1224 982
AddRight 1225 903
AddLeft 1226 877
AddLeft 1227 671
AddLeft 1228 946
AddRight 1229 709
AddRight 1230 741
AddLeft 1231 1202
AddRight 1232 473
AddRight 1233 639
AddLeft 1234 568
AddLeft 1235 819
AddLeft 1236 374
AddLeft 1237 582
AddRight 1238 1188
AddLeft 1239 987
AddRight 1240 868
AddRight 1241 1193
AddRight 1242 1057
AddLeft 1243 779
AddRight 1244 981
AddRight 1245 1092
AddRight 1246 928
AddLeft 1247 546
AddLeft 1248 332
AddLeft 1249 1167
AddLeft 1250 786
AddLeft 1251 589
AddRight 1252 1171
AddRight 1253 1132
AddRight 1254 1190
AddRight 1255 1148
AddLeft 1256 187
AddRight 1257 605
AddLeft 1258 1107
AddRight 1259 1012
AddLeft 1260 985
AddRight 1261 718
AddRight 1262 721
AddRight 1263 1191
AddLeft 1264 1093
AddLeft 1265 1191
AddRight 1266 950
AddLeft 1267 787
AddRight 1268 92
AddLeft 1269 225
AddLeft 1270 364
AddRight 1271 827
AddLeft 1272 390
AddRight 1273 1177
AddLeft 1274 683
AddRight 1275 823
AddRight 1276 967
AddRight 1277 1249
AddLeft 1278 968
AddRight 1279 604
AddRight 1280 785
AddRight 1281 780
AddLeft 1282 1262
AddLeft 1283 1197
AddRight 1284 1200
AddLeft 1285 1242
AddRight 1286 421
AddLeft 1287 130
AddRight 1288 1067
AddLeft 1289 898
AddLeft 1290 531
AddRight 1291 987
AddRight 1292 1107
AddLeft 1293 903
AddLeft 1294 1244
AddRight 1295 694
AddLeft 1296 1218
AddRight 1297 1000
AddRight 1298 1001
AddLeft 1299 1049
AddLeft 1300 1135
AddRight 1301 817
AddRight 1302 990
AddRight 1303 1098
AddRight 1304 522
AddRight 1305 590
AddLeft 1306 643
AddLeft 1307 1289
AddLeft 1308 1245
AddLeft 1309 947
AddRight 1310 1212
AddLeft 1311 1196
AddRight 1312 583
AddRight 1313 1024
AddLeft 1314 1275
AddLeft 1315 576
AddLeft 1316 498
AddLeft 1317 1085
AddRight 1318 1125
AddRight 1319 1117
AddLeft 1320 711
AddLeft 1321 1017
AddLeft 1322 1270
AddRight 1323 845
AddRight 1324 841
AddRight 1325 1011
AddLeft 1326 774
AddRight 1327 643
AddLeft 1328 1019
AddRight 1329 1124
AddLeft 1330 1045
AddRight 1331 1141
AddRight 1332 856
AddLeft 1333 544
AddRight 1334 1054
AddRight 1335 1023
AddRight 1336 926
AddRight 1337 1080
AddRight 1338 953
AddLeft 1339 552
AddLeft 1340 770
AddLeft 1341 753
AddLeft 1342 1240
AddRight 1343 153
AddLeft 1344 1207
AddRight 1345 958
AddRight 1346 456
AddLeft 1347 496
AddLeft 1348 1257
AddLeft 1349 1006
AddLeft 1350 428
AddRight 1351 648
AddRight 1352 1318
AddRight 1353 995
AddRight 1354 1340
AddRight 1355 1128
AddRight 1356 501
AddLeft 1357 1012
AddLeft 1358 1333
AddLeft 1359 623
AddLeft 1360 746
AddLeft 1361 1327
AddRight 1362 410
AddRight 1363 1256
AddRight 1364 1234
AddRight 1365 943
AddRight 1366 1170
AddLeft 1367 921
AddRight 1368 1323
AddRight 1369 580
AddLeft 1370 766
AddLeft 1371 302
AddRight 1372 1295
AddLeft 1373 922
AddRight 1374 980
AddLeft 1375 1344
AddLeft 1376 1287
AddLeft 1377 1370
AddLeft 1378 812
AddRight 1379 1035
AddLeft 1380 974
AddRight 1381 417
AddLeft 1382 391
AddRight 1383 674
AddLeft 1384 442
AddLeft 1385 1265
AddRight 1386 857
AddLeft 1387 1013
AddRight 1388 547
AddRight 1389 1242
AddRight 1390 1104
AddRight 1391 764
AddRight 1392 1088
AddRight 1393 1094
AddRight 1394 832
AddRight 1395 47
AddRight 1396 1145
AddLeft 1397 1157
AddRight 1398 938
AddLeft 1399 845
AddRight 1400 786
AddLeft 1401 809
AddLeft 1402 747
AddRight 1403 770
AddRight 1404 1383
AddRight 1405 1329
AddLeft 1406 1106
AddLeft 1407 469
AddRight 1408 546
AddRight 1409 1266
AddRight 1410 1276
AddRight 1411 1045
AddRight 1412 331
AddLeft 1413 555
AddRight 1414 1376
AddLeft 1415 1108
AddLeft 1416 311
AddRight 1417 613
